毒,どく,
中毒,ちゅうどく,
有毒,ゆうどく,
食中毒,しょくちゅうどく,
毒ガス,どくがす,どくガス,
方法,ほうほう,
文法,ぶんぽう,
不法,ふほう,
泣く,なく,
浅い,あさい,
猫,ねこ,
子猫,こねこ,
秋,あき,
新築,しんちく,
世紀,せいき,
紀元後,きげんご,
英語,えいご,
英会話,えいかいわ,
英文,えいぶん,
英国,えいこく,
英和,えいわ,
時計,とけい,
合計,ごうけい,
計画,けいかく,
計算,けいさん,
軍人,ぐんじん,
海軍,かいぐん,
飯,めし,
ご飯,ごはん,
悲しむ,かなしむ,
落ち着く,おちつく,
仮面,かめん,
係わる,かかわる,
保守的,ほしゅてき,
保存,ほぞん,
保険,ほけん,
保証,ほしょう,
仏像,ぶつぞう,
古典的,こてんてき,
仏典,ぶってん,
字典,じてん,
事典,じてん,
冒険,ぼうけん,
冗談,じょうだん,
危険,きけん,
危ない,あぶない,
取る,とる,
下品,げひん,
作品,さくひん,
品,ひん,しな,
新品,しんぴん,
商品,しょうひん,
喜ぶ,よろこぶ,
公園,こうえん,
園,えん,その,
存じる,ぞんじる,
生存,せいぞん,
守る,まもる,
留守,るす,
真実,しんじつ,
専門,せんもん,
不幸,ふこう,
幸せ,しあわせ,
政府,せいふ,
弁当,べんとう,
東京弁,とうきょうべん,
〜弁,べん,
急ぐ,いそぐ,
急に,きゅうに,
急死,きゅうし,
急行,きゅうこう,
政治,せいじ,
書く,かく,
残品,ざんぴん,
治す,なおす,
全治,ぜんち,ぜんじ,
不治,ふじ,ふち,
明治,めいじ,
浴びる,あびる,
日光浴,にっこうよく,
特急,とっきゅう,
留学,りゅうがく,
写真,しゃしん,
真っ黒,まっくろ,
幸福,こうふく,
笑う,わらう,
笑顔,えがお,
ゴミ箱,ごみばこ,ゴミばこ,
箱,はこ,
荷物,にもつ,
証,あかし,
証人,しょうにん,
証言,しょうげん,
辞書,じしょ,
辞める,やめる,
世辞,せじ,
遠い,とおい,
入門,にゅうもん,
関する,かんする,
関係,かんけい,
阪神,はんしん,
前面,ぜんめん,
地面,じめん,
外面,がいめん,そとづら,
画面,がめん,
面白い,おもしろい,
図書館,としょかん,
消化する,しょうかする,
消える,きえる,
気持ち悪い,きもちわるい,
流れる,ながれる,
動かす,うごかす,
着ける,つける,
勉強する,べんきょうする,
旅行する,りょこうする,
温める,あたためる,
起こす,おこす,
旅行者,りょこうしゃ,
悪口,わるくち,わるぐち,あっこう,
不良,ふりょう,
不器用,ぶきよう,ぶきっちょ,
お願い,おねがい,
飲み放題,のみほうだい,
食べ放題,たべほうだい,
良好,りょうこう,
人殺し,ひとごろし,
殺人者,さつじんしゃ,
指輪,ゆびわ,
輪ゴム,わごむ,わゴム,
整理する,せいりする,
整理,せいり,
暗記する,あんきする,
練習する,れんしゅうする,
映す,うつす,
料理人,りょうりにん,
芸術家,げいじゅつか,
自動,じどう,
自動的,じどうてき,
基本的,きほんてき,
折り目,おりめ,
卒業,そつぎょう,
卒業式,そつぎょうしき,
不完全,ふかんぜん,
美術館,びじゅつかん,
折り紙,おりがみ,
希望,きぼう,
希望する,きぼうする,
技術,ぎじゅつ,
妥協する,だきょうする,
妥協,だきょう,
要求,ようきゅう,
要求する,ようきゅうする,
消化,しょうか,
消化不良,しょうかふりょう,
不合格,ふごうかく,
卒業する,そつぎょうする,
残す,のこす,
固める,かためる,
変事,へんじ,
建築家,けんちくか,
紀元前,きげんぜん,
朝ご飯,あさごはん,
イギリス人,いぎりすじん,イギリスじん,
泣き虫,なきむし,
泣き声,なきごえ,
晩ご飯,ばんごはん,
昼ご飯,ひるごはん,
願い事,ねがいごと,
同期中,どうきちゅう,
寺,てら,
期待する,きたいする,
回転ずし,かいてんずし,
回転する,かいてんする,
証明,しょうめい,
曜日,ようび,
気持ちいい,きもちいい,
運,うん,
関西,かんさい,
大阪,おおさか,
右側,みぎがわ,
左側,ひだりがわ,
内側,うちがわ,
外側,そとがわ,がいそく,
両側,りょうがわ,
東側,ひがしがわ,
西側,にしがわ,
兵員,へいいん,
兵器,へいき,
兵士,へいし,
米兵,べいへい,
原因,げんいん,
原子,げんし,
原作,げんさく,
内因,ないいん,
主因,しゅいん,
悪因悪果,あくいんあっか,
食堂,しょくどう,
塩,しお,
塩水,しおみず,えんすい,
塩味,しおあじ,しおみ,
官金,かんきん,
外交官,がいこうかん,
察する,さっする,
察知,さっち,
席,せき,
欠席,けっせき,
出席,しゅっせき,
空席,くうせき,
常に,つねに,
日常,にちじょう,
常識,じょうしき,
干す,ほす,
干天,かんてん,
干渉,かんしょう,
幻,まぼろし,
幻覚,げんかく,
幻想,げんそう,
底,そこ,
心底,しんそこ,
川底,かわぞこ,
建つ,たつ,
建物,たてもの,
建前,たてまえ,
恋,こい,
失恋,しつれん,
愛,あい,
愛国心,あいこくしん,
恋愛,れんあい,
自愛,じあい,
性愛,せいあい,
愛知県,あいちけん,
敗れる,やぶれる,
失敗,しっぱい,
勝敗,しょうはい,
敗者,はいしゃ,
是非,ぜひ,
果物,くだもの,
結果,けっか,
栄える,さかえる,
光栄,こうえい,
栄光,えいこう,
梅,うめ,
梅酒,うめしゅ,
交渉,こうしょう,
無力,むりょく,
無休,むきゅう,
無名,むめい,
無事,ぶじ,
無知,むち,
無茶,むちゃ,
無料,むりょう,
細い,ほそい,
結局,けっきょく,
署名,しょめい,
薬,くすり,
薬学,やくがく,
薬方,やくほう,
薬物,やくぶつ,
薬用,やくよう,
虚栄心,きょえいしん,
虚弱,きょじゃく,
自覚,じかく,
感覚,かんかく,
説明,せつめい,
小説,しょうせつ,
伝説,でんせつ,
仮説,かせつ,
図説,ずせつ,
知識,ちしき,
意識,いしき,
警察,けいさつ,
非常,ひじょう,
鼻,はな,
鼻くそ,はなくそ,
鼻先,はなさき,
鼻歌,はなうた,
鼻血,はなぢ,はなじ,
上品,じょうひん,
大阪弁,おおさかべん,
関西弁,かんさいべん,
土曜日,どようび,
日曜日,にちようび,
月曜日,げつようび,
木曜日,もくようび,
水曜日,すいようび,
留学生,りゅうがくせい,
お笑い,おわらい,
手荷物,てにもつ,
証明書,しょうめいしょ,
笑い,わらい,
借用,しゃくよう,
借りる,かりる,
借金,しゃっきん,
借家,しゃくや,しゃっか,
僧院,そういん,
仏僧,ぶっそう,
切り取る,きりとる,
取り出す,とりだす,
取り分け,とりわけ,
取れる,とれる,
取り決め,とりきめ,
文句,もんく,
禁句,きんく,
可愛い,かわいい,
許可,きょか,
可分,かぶん,
不可欠,ふかけつ,
告白,こくはく,
告げる,つげる,
広告,こうこく,
予告,よこく,
公告,こうこく,
報告,ほうこく,
喫煙,きつえん,
喫茶店,きっさてん,
情報,じょうほう,
予報,よほう,
報じる,ほうじる,
報道,ほうどう,
お守り,おまもり,
留守番,るすばん,
正座,せいざ,
座禅,ざぜん,
座席,ざせき,
銀座,ぎんざ,
駅弁,えきべん,
弓,ゆみ,
弓道,きゅうどう,
忘れる,わすれる,
忘年会,ぼうねんかい,
下書き,したがき,
書き入れる,かきいれる,
書き方,かきかた,
書き直す,かきなおす,
何枚,なんまい,
枚数,まいすう,
五枚,ごまい,
洗う,あらう,
洗車,せんしゃ,
洗練,せんれん,
皿洗い,さらあらい,
焼く,やく,
日焼け,ひやけ,
焼き鳥,やきとり,
焼き肉,やきにく,
夕焼け,ゆうやけ,
煙,けむり,
黒煙,こくえん,くろけむり,
祈る,いのる,
祈念,きねん,
祈願,きがん,
禁煙,きんえん,
禁止,きんし,
禅寺,ぜんでら,ぜんじ,
禅僧,ぜんそう,
私大,しだい,
人種,じんしゅ,
等しい,ひとしい,
等号,とうごう,
一等,いっとう,
不等,ふとう,
訓練,くんれん,
胸,むね,
脳,のう,
脳死,のうし,
脳みそ,のうみそ,
洗脳,せんのう,
二枚舌,にまいじた,
落書き,らくがき,
葉書,はがき,
訓読み,くんよみ,
教訓,きょうくん,
許す,ゆるす,
試す,ためす,
試合,しあい,
友達,ともだち,
配達する,はいたつする,
達人,たつじん,
伝達,でんたつ,
静か,しずか,
静止,せいし,
平静,へいせい,
人類,じんるい,
分類,ぶんるい,
種類,しゅるい,
親類,しんるい,
乱れる,みだれる,
乱戦,らんせん,
混乱,こんらん,
乱交,らんこう,
〜冊,さつ,
三冊,さんさつ,
八冊,はっさつ,
一冊,いっさつ,
別冊,べっさつ,
いい加減,いいかげん,
原子力,げんしりょく,
改善,かいぜん,
善悪,ぜんあく,
集団,しゅうだん,
入団,にゅうだん,
困る,こまる,
季節,きせつ,
宇宙,うちゅう,
警官,けいかん,
内容,ないよう,
容疑,ようぎ,
形容詞,けいようし,
履歴書,りれきしょ,
履く,はく,
若布,わかめ,
布,ぬの,
財布,さいふ,
布団,ふとん,
毛布,もうふ,
生徒,せいと,
仏教徒,ぶっきょうと,
信徒,しんと,
得る,える,
得,とく,
得意,とくい,
説得,せっとく,
忙しい,いそがしい,
恋人,こいびと,
改まる,あらたまる,
改正,かいせい,
大失敗,だいしっぱい,
昆布,こんぶ,こぶ,
易しい,やさしい,
容易,ようい,
暴れる,あばれる,
暴力,ぼうりょく,
乱暴,らんぼう,
暴走,ぼうそう,
梅干,うめぼし,
歴史,れきし,
学歴,がくれき,
比べる,くらべる,
比例,ひれい,
対比,たいひ,
混ぜる,まぜる,
混ざる,まざる,
減る,へる,
減法,げんぽう,
節句,せっく,
絡む,からむ,
続く,つづく,
続々,ぞくぞく,
舌,した,
猫舌,ねこじた,
若い,わかい,
若者,わかもの,
若々しい,わかわかしい,
名詞,めいし,
動詞,どうし,
歌詞,かし,
助詞,じょし,
数詞,すうし,
自動詞,じどうし,
無意識,むいしき,
私財,しざい,
借財,しゃくざい,
連続,れんぞく,
