一,いち|ひと|かず|いつ|,One
貫,かん|つらぬ|ぬき|ぬ|,Pierce|Sushi Counter
覇,は|はく|はたがしら|,Leadership
呂,ろ|りょ|せぼね|,Bath
茨,し|じ|いばら|,Briar|Thorn
擁,よう|,Embrace
孤,こ|,Orphan|Alone
賠,ばい|,Compensation|Compensate
鎖,さ|くさり|とざ|,Chain
噴,ふん|ふ|,Erupt
祥,しょう|きざ|さいわ|つまび|よ|,Auspicious
牲,せい|,Offering
秩,ちつ|,Order|Regularity
唆,さ|そそのか|そそ|,Instigate
膨,ぼう|ふく|,Swell
芳,ほう|かんば|,Perfume
恒,こう|つね|つねに|,Constant|Always
倫,りん|,Ethics
陳,ちん|ひ|,Exhibit
須,す|しゅ|すべから|すべし|ひげ|まつ|もち|もと|,Necessary
偏,へん|かたよ|,Biased
遇,ぐう|あ|,Treatment
糧,りょう|ろう|かて|,Provisions
殊,しゅ|こと|,Especially
慢,まん|,Ridicule|Laziness
没,ぼつ|もつ|おぼ|しず|ない|,Die
怠,たい|おこた|なま|,Lazy|Neglect
遭,そう|あ|,Encounter|Meet
惰,だ|,Lazy
猟,りょう|れふ|かり|か|,Hunting
乃,ない|すなわ|なんじ|の|,From
綾,りん|あや|,Design
颯,さつ|そう|さっ|,Quick|Sudden
隼,しゅん|じゅん|はやぶさ|,Falcon
輔,ふ|ほ|たす|すけ|,Help
寛,かん|くつろ|,Tolerance
胞,ほう|,Cell|Placenta
浄,じょう|せい|きよ|,Cleanse|Purify
随,ずい|したが|まにま|,All
稿,こう|したがき|わら|,Draft
丹,たん|に|,Rust Colored|Red
壌,じょう|つち|,Soil|Earth
舗,ほ|,Shop|Store
騰,とう|あが|のぼ|,Inflation
緯,い|ぬき|よこいと|,Latitude
艇,てい|,Rowboat
披,ひ|,Expose
錦,きん|にしき|,Brocade
准,じゅん|,Semi
剰,じょう|あまつさえ|あま|,Surplus
繊,せん|,Fiber|Slender
諭,ゆ|さと|,Admonish
惨,さん|ざん|みじ|いた|むご|,Disaster
虐,ぎゃく|しいた|,Oppress
据,きょ|す|,Install
徐,じょ|おもむ|,Gently|Gentle
搭,とう|,Board|Embark
蒙,もう|ぼう|おお|くら|こうむ|,Darkness
鯉,り|こい|,Carp|Koi
戴,たい|いただ|,Receive
緋,ひ|あか|あけ|,Scarlet
曙,しょ|あけぼの|,Dawn
胡,こ|う|ご|なんぞ|きゅう|,Barbarian
瓜,か|け|うり|,Melon
帥,すい|,Commander
啓,けい|さと|ひら|,Enlighten
葵,き|あおい|,Hollyhock
駿,しゅん|すん|すぐ|,Speed
諒,りょう|あきら|まことに|,Comprehend|Reality
莉,り|れい|らい|,Jasmine
鯨,げい|くじら|,Whale
荘,そう|しょう|ちゃん|あごそ|ほうき|,Villa
栽,さい|,Planting
拐,かい|,Kidnap
冠,かん|かんむり|,Crown|Cap
勲,くん|いさお|,Merit
酬,しゅう|しゅ|とう|むく|,Repay
紋,もん|,Family Crest
卸,しゃ|おろし|おろ|,Wholesale
欄,らん|てすり|,Column|Space
逸,いつ|そ|はぐ|,Deviate|Elude
尚,しょう|なお|,Furthermore|Esteem
顕,けん|あきらか|あらわ|,Appear|Exist
粛,しゅく|すく|つつし|,Solemn
愚,ぐ|おろ|,Foolish
庶,しょ|,All|Bastard
践,せん|ふ|,Practice|Trample
呈,てい|,Present|Display
疎,そ|しょ|うと|まば|,Neglect|Sparse
疾,しつ|はや|,Rapidly|Rapid
謡,よう|うた|,Noh Chanting|Noh Chant
鎌,けん|れん|かま|,Sickle|Scythe
酷,こく|ひど|,Cruel|Unjust
叙,じょ|つい|ついで|,Describe
且,しょ|しょう|そ|か|,Also
痴,ち|おろか|し|,Stupid
呆,ほう|あき|おろか|ほけ|ぼ|,Shock
哺,ほ|ほぐく|ふく|,Nurse|Suckle
傲,ごう|あなど|おご|,Proud
茎,きょう|けい|くき|,Stem
阿,あ|お|おもね|くま|,Flatter
悠,ゆう|,Leisure
杏,あん|きょう|こう|あんず|,Apricot
茜,せん|あかね|,Red Dye
栞,かん|しおり|,Bookmark
伏,ふく|ふ|,Bow|Lay
鎮,ちん|おさえ|しず|,Tranquilize
奉,ほう|ぶ|たてまつ|まつ|ほう|,Dedicate
憂,ゆう|う|うれ|,Grief
朴,ぼく|えのき|ほう|ほお|,Simple|Crude
栃,とち|,Horse Chestnut
惜,せき|お|,Frugal
佳,か|,Excellent|Skilled
悼,とう|いた|,Grieve|Mourn
該,がい|,The Above|That Specifically
赴,ふ|おもむ|,Proceed|Move On
髄,ずい|,Marrow|Bone Marrow
傍,ぼう|かたわ|わき|おか|はた|そば|,Nearby|Side
累,るい|,Accumulate
癒,ゆ|い|いや|,Healing|Cure
郭,かく|くるわ|,Enclosure
尿,にょう|,Urine|Pee
賓,ひん|,VIP|Guest
虜,りょ|ろ|とりく|とりこ|,Captive
憾,かん|うら|,Remorse|Regret
弥,び|み|や|,Increasing
粗,そ|あら|,Coarse|Rough
循,じゅん|,Circulation|Sequential
凝,ぎょう|こ|こご|,Congeal|Freeze|Absorbed In
脊,せき|せ|せい|,Stature|Height
昌,しょう|さかん|,Prosperous|Prosperity
旦,たん|だん|あきら|あき|あさ|あした|ただし|,Dawn
愉,ゆ|たの|,Pleasant
抹,まつ|,Erase
栓,せん|,Cork|Plug
之,し|これ|の|,This
龍,りゅう|りょう|ろう|たつ|,Imperial|Dragon
遼,りょう|,Distant
瑛,えい|,Crystal
那,な|だ|いかん|なに|なんぞ|,What
拍,はく|ひょう|,Beat
猶,ゆう|ゆ|なお|,Still|Yet
宰,さい|,Manager
寂,じゃく|せき|さび|さみ|,Lonely
縫,ほう|ぬ|,Sew
呉,ご|くれ|く|,Give
凡,ぼん|はん|おうよ|およ|すべ|,Mediocre
恭,きょう|うやうや|,Respect
錯,さく|しゃく|,Confused|Mixed
穀,こく|,Grain
陵,りょう|みささぎ|,Mausoleum|Tomb
弊,へい|,Evil
舶,はく|,Ship
窮,きゅう|きょう|きわ|,Destitute
悦,えつ|よろこ|,Delight|Joy
縛,ばく|しば|,Bind|Restrain
轄,かつ|くさび|,Control
弦,げん|つる|,Chord|Bowstring
窒,ちつ|,Suffocate
洪,こう|,Flood
摂,せつ|しょう|おさ|かね|と|,In Addition
飽,ほう|あ|,Bored|Sated
紳,しん|,Gentleman
庸,よう|,Common
靖,じょう|せい|やす|,Peaceful
嘉,か|よい|よみ|,Esteem|Praise
搾,さく|しぼ|,Squeeze
蝶,ちょう|,Butterfly
碑,ひ|いしぶみ|,Tombstone
尉,い|じょう|,Military Officer|Military Rank
凛,りん|きびし|,Cold
匠,しょう|たくみ|,Artisan
遥,よう|はる|,Far Off|Far Away
智,ち|とも|,Wisdom
柴,さい|し|しば|,Brushwood|Firewood
賊,ぞく|,Robber
鼓,こ|つづみ|,Drum|Beat
旋,せん|,Rotation|Revolution
腸,ちょう|はらわた|,Intestines
槽,そう|ふね|,Tank|Vat
伐,ばつ|う|き|そむ|,Fell|Attack
漬,し|つ|,Pickle
坪,へい|つぼ|,Two Mat Area
紺,こん|,Navy|Dark Blue
羅,ら|うすもの|,Spread Out|Arrange
峡,きょう|こう|はざま|,Ravine
俸,ほう|,Salary
醸,じょう|かも|,Brew
弔,ちょう|とぶら|とむら|,Condolence
乙,おつ|いつ|おと|きのと|,Latter|B
遍,へん|あまね|,Universal
衡,こう|,Equilibrium
款,かん|,Article|Sincerity
閲,えつ|けみ|,Inspection
喝,かつ|,Scold
敢,かん|あ|,Daring
膜,まく|,Membrane
盲,もう|めくら|,Blind
胎,たい|,Womb|Uterus
酵,こう|,Fermentation|Ferment
堕,だ|お|くず|,Degenerate
遮,しゃ|さえぎ|,Intercept
烏,うお|からす|,Crow
凸,とつ|でこ|,Convex|Uneven
凹,おう|くぼ|へこ|ぼこ|,Concave|Hollow
楓,ふう|かえで|,Maple
哉,さい|や|かな|,Question Mark|?
蒼,そう|あお|,Pale|Blue
瑠,る|りゅう|,Lapis Lazuli
萌,ほう|きざ|めばえ|も|,Sprout
硫,りゅう|,Sulfur|Sulphur
赦,しゃ|,Pardon
窃,せつ|ぬす|ひそ|,Steal
慨,がい|,Sigh
扶,ふ|たす|,Aid
戯,ぎ|げ|ざ|じゃ|たわむ|,Play
忌,き|い|,Mourning
濁,だく|じょく|にご|,Muddy|Impure
奔,ほん|はし|,Run|Bustle
肖,しょう|あやか|,Resemblance
朽,きゅう|く|,Rot|Decay
殻,かく|こく|ばい|から|がら|,Husk|Shell
享,きょう|こう|う|,Receive
藩,はん|,Fiefdom
媒,ばい|なこうど|,Mediator
鶏,けい|とり|にわとり|,Chicken
嘱,しょく|しょく|たの|,Request|Entrust
迭,てつ|,Alternate
椎,つい|すい|う|つち|,Oak|Oak Tree
絹,けん|きぬ|,Silk
陪,ばい|,Accompany
剖,ぼう|,Divide
譜,ふ|,Genealogy|Score
淑,しゅく|しと|,Graceful
帆,はん|ほ|,Sail
憤,ふん|いきどお|,Resent
酌,しゃく|く|,Serve
暁,きょう|ぎょう|あかつき|さと|,Dawn
傑,けつ|すぐ|,Greatness|Excellence
錠,じょう|,Lock
凌,りょう|しの|,Endure
瑞,すい|ずい|みず|しるし|,Congratulations
菅,かん|けん|すげ|すが|,Sedge
漣,れん|らん|さざなみ|,Ripples
璃,り|,Glassy
遷,せん|うつ|みやこがえ|,Transition
拙,せつ|つたな|,Clumsy|Unskillful
峠,とうげ|,Ridge
篤,とく|あつ|,Deliberate
叔,しゅく|お|,Uncle|Aunt
雌,し|めす|め|めん|,Female
堪,かん|たん|た|こた|こ|,Endure
吟,ぎん|,Recital
甚,じん|はなは|,Very|Great
崇,すう|あが|,Worship|Revere
漆,しつ|うるし|,Lacquer|Varnish
岬,こう|みさき|,Cape
紡,ぼう|つむ|,Spinning|Spin
礁,しょう|,Reef
屯,とん|,Barracks
姻,いん|,Marry
擬,ぎ|まが|もど|,Imitate
睦,ぼく|もく|むつ|,Friendly
閑,かん|,Leisure
曹,そう|ぞう|つかさ|ともがら|へや|,Official
詠,えい|よ|うた|,Compose|Recite
卑,ひ|いや|,Lowly|Base
侮,ぶ|あなず|あなど|,Despise
鋳,ちゅう|い|,Cast|Casting
蔑,べつ|さげす|,Scorn|Neglect
胆,たん|きも|,Guts
浪,ろう|,Wander
禍,か|わざわい|,Evil|Misfortune
酪,らく|,Dairy
憧,しょう|とう|どう|あこが|,Long For|Yearn
慶,けい|よろこ|,Congratulate
亜,あ|つ|,Asia
汰,た|たい|おご|にご|よな|,Select
梓,し|あずさ|,Wood Block
沙,さ|しゃ|すな|よなげる|,Sand
逝,せい|い|ゆ|,Die
匿,とく|かくま|,Hide
寡,か|,Widow
痢,り|,Diarrhea|Diarrhoea
坑,こう|,Pit|Hole
藍,らん|あい|,Indigo
畔,はん|あぜ|くろ|ほとり|,Shore
唄,ばい|うた|,Shamisen Song
拷,ごう|,Torture
渓,けい|たに|たにがわ|,Valley
廉,れん|,Bargain
謹,きん|つつし|,Humble|Discreet
湧,ゆう|ゆ|よう|わ|,Well|Boil
醜,しゅう|しこ|みにく|,Ugly
升,しょう|ます|,Grid|Measure
殉,じゅん|,Martyr
煩,はん|ぼん|うるさ|わずら|,Annoy|Annoying
劾,がい|,Censure
桟,さん|せん|かけはし|,Jetty|Pier
婿,せい|むこ|,Groom
慕,ぼ|した|,Yearn For|Adore
罷,ひ|や|,Quit|Leave
矯,きょう|た|,Correct|Straighten
某,ぼう|それがし|なにがし|,Certain|One|That Person
囚,しゅう|とら|,Criminal
泌,ひ|ひつ|,Secrete
漸,ぜん|ようや|やや|,Gradually|Steadily
藻,そう|も|,Seaweed
妄,もう|ぼう|みだ|,Reckless
蛮,ばん|えびす|,Barbarian
倹,けん|つづまやか|つま|,Thrifty|Frugal
狐,こ|きつね|,Fox
匂,にお|,Scent|Fragrance
嬉,き|うれ|,Glad|Happy
嘘,うそ|,Lie
串,くし|,Skewer|Spit
喉,こう|のど|,Throat
叩,こう|たた|,Strike|Beat
飴,あめ|,Candy
噂,うわさ|そん|,Rumor|Gossip
諦,てい|あきら|,Give Up|Abandon
捉,とら|そく|,Catch
膝,ひざ|,Knee
眉,み|まゆ|,Eyebrows
濡,ぬ|,Wet|Damp
痩,そう|や|,Thin
羨,せん|うらや|,Envy|Jealousy
慌,こう|あわ|,Confused|Bewildered
挨,あい|,Push Open
拶,さつ|,Draw Close|Be Imminent
斤,きん|,Axe|Bread Loaf Counter
袖,しゅう|そで|,Sleeve
凄,せい|すご|,Amazing|Wonderful|Terrible|Awful
